Report ID,Report Type,Year,Arrest Date,Time,Time Range,Area Name,Reporting District,Age,Sex,Race,Charge Group Description,Arrest Type,Charge,Charge Description,Disposition Description,Address,Cross Street,LAT,LON,CD
211404906,RFC,2021,1/1/21 0:00,750,4am-8am,Pacific,1412,34,Male,White,,Infraction,41.18DLAMC,,MISDEMEANOR COMPLAINT FILED,DUDLEY AV,OCEAN FRONT WK,33.9942,-118.4795,11
211404160,RFC,2021,1/4/21 0:00,1530,12pm-4pm,Pacific,1432,31,Male,White,,Infraction,41.18(A)LAM,,MISDEMEANOR COMPLAINT FILED,LINCOLN BL,MILWOOD AV,33.9976,-118.46,11
211404156,RFC,2021,1/4/21 0:00,1600,12pm-4pm,Pacific,1432,49,Male,White,,Infraction,41.18(A)LAM,,MISDEMEANOR COMPLAINT FILED,LINCOLN BL,MILWOOD AV,33.9976,-118.46,11
210804233,RFC,2021,1/5/21 0:00,1345,12pm-4pm,West LA,881,53,Male,White,Disorderly Conduct,Misdemeanor,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,MISDEMEANOR COMPLAINT FILED,EXPOSITION,STONER,0,0,11
210804416,RFC,2021,1/5/21 0:00,1240,12pm-4pm,West LA,883,40,Male,White,,Misdemeanor,41.18(D)LAM,,MISDEMEANOR COMPLAINT FILED,COTNER AV,MISSOURI AV,34.0436,-118.4431,5
210804231,RFC,2021,1/5/21 0:00,1310,12pm-4pm,West LA,887,42,Male,Black,Disorderly Conduct,Misdemeanor,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,MISDEMEANOR COMPLAINT FILED,PONTIUS,TENNESSEE,0,0,11
210804227,RFC,2021,1/5/21 0:00,1520,12pm-4pm,West LA,854,59,Male,White,Disorderly Conduct,Misdemeanor,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,MISDEMEANOR COMPLAINT FILED,COTNER,NEBRASKA,0,0,11
210804229,RFC,2021,1/5/21 0:00,1315,12pm-4pm,West LA,887,31,Female,Black,Disorderly Conduct,Misdemeanor,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,MISDEMEANOR COMPLAINT FILED,PONTIUS,TENNESSEE,0,0,11
210804232,RFC,2021,1/5/21 0:00,1400,12pm-4pm,West LA,881,40,Male,Black,Disorderly Conduct,Misdemeanor,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,MISDEMEANOR COMPLAINT FILED,EXPOSITION,STONER,0,0,11
210804228,RFC,2021,1/5/21 0:00,1300,12pm-4pm,West LA,884,39,Female,White,Disorderly Conduct,Misdemeanor,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,MISDEMEANOR COMPLAINT FILED,COTNER,OLYMPIC,0,0,11
